,City,Temp (F),Humidity,Cloudiness,Wind Speed (MPH),Latitude,Longitude
0,Busselton,92.25,9,4,5.68,-33.65,115.33
1,Saint-Joseph,78.8,54,0,23.04,-21.37,55.62
2,Balkanabat,26.92,80,0,0.96,39.51,54.37
3,Punta Arenas,44.29,81,0,5.82,-53.15,-70.92
4,Rikitea,77.22,79,60,14.23,-23.12,-134.97
5,Bonavista,31.32,100,100,3.36,48.65,-53.11
6,Shelburne,32.59,93,95,11.32,44.08,-80.2
7,Cayenne,77.0,100,75,7.49,4.93,-52.33
8,Puerto Ayora,73.99,90,49,3.0,-0.74,-90.35
9,Port Elizabeth,64.4,93,90,3.36,-33.92,25.57
10,Tasiilaq,24.8,62,98,4.7,65.61,-37.64
11,George Town,84.96,70,20,6.93,5.41,100.34
12,Kondinskoye,12.7,93,23,8.23,59.65,67.41
13,Mar del Plata,73.81,69,0,11.41,-38.0,-57.56
14,Atuona,79.23,76,9,19.71,-9.8,-139.03
15,Amahai,87.78,61,50,5.1,-3.33,128.92
16,Prince George,26.35,100,90,8.05,53.92,-122.75
17,Pevek,7.84,88,79,11.18,69.7,170.31
18,Moose Factory,29.28,100,90,10.29,51.26,-80.61
19,Dickson,52.54,47,20,9.17,36.08,-87.39
20,Yenagoa,75.34,94,0,3.33,4.92,6.26
21,Hilo,72.84,65,20,10.29,19.73,-155.09
22,Mandalgovi,4.42,93,93,3.27,45.76,106.27
23,Avarua,75.2,88,64,25.28,-21.21,-159.78
24,Ushuaia,50.0,76,75,4.92,-54.8,-68.3
25,Mahébourg,77.0,65,20,8.05,-20.41,57.7
26,New Norfolk,69.64,31,0,1.99,-42.78,147.06
27,Hobart,66.85,51,20,18.34,-42.88,147.33
28,Balyqshy,8.6,84,0,4.47,47.07,51.87
29,Sittwe,75.24,61,0,2.93,20.15,92.9
30,Blackfoot,22.66,78,53,2.39,43.19,-112.34
31,Saskylakh,-19.16,86,100,12.1,71.92,114.08
32,Castro,59.04,94,0,5.32,-24.79,-50.01
33,Upernavik,23.16,90,100,5.06,72.79,-56.15
34,Albany,33.24,82,13,2.8,42.6,-73.97
35,Kruisfontein,64.99,96,85,1.99,-34.0,24.73
36,Mount Gambier,71.6,40,0,18.34,-37.83,140.77
37,Olafsvik,39.27,87,100,21.65,64.89,-23.71
38,Nikolskoye,16.38,78,0,8.95,59.7,30.79
39,Newport,48.02,90,60,3.0,51.59,-3.0
40,Talnakh,-25.6,74,0,6.71,69.49,88.4
41,Banjar,86.0,70,20,9.17,-8.19,114.97
42,Taltal,59.59,77,40,1.57,-25.4,-70.48
43,Garden City,34.5,87,40,4.7,42.33,-83.33
44,Pangnirtung,10.96,82,74,5.06,66.15,-65.71
45,Kapaa,77.41,69,40,8.05,22.08,-159.32
46,Chui,67.26,81,0,10.69,-33.7,-53.46
47,Saint George,45.01,33,1,3.36,37.1,-113.58
48,Saint-Philippe,75.56,54,0,23.04,-21.36,55.77
49,Bubaque,80.49,65,0,6.82,11.28,-15.83
50,Longyearbyen,14.0,66,75,10.29,78.22,15.64
51,Vaini,84.2,79,20,11.41,-21.2,-175.2
52,Taos,27.82,92,90,3.36,36.41,-105.57
53,Santa María del Monte,55.4,66,75,1.83,19.29,-99.82
54,Mandalī,53.87,67,0,5.28,33.75,45.55
55,Port Alfred,68.92,88,78,3.74,-33.59,26.89
56,Chokurdakh,-29.92,85,92,4.45,70.63,147.92
57,Butaritari,81.93,77,79,10.33,3.07,172.79
58,Bambanglipuro,82.99,77,100,7.74,-7.95,110.28
59,Mataura,48.0,87,81,11.99,-46.19,168.86
60,Paamiut,25.68,80,2,11.99,61.99,-49.67
61,Cururupu,74.8,91,44,3.09,-1.83,-44.87
62,Rawson,63.84,39,57,28.01,-43.3,-65.1
63,Kaitangata,55.0,55,84,24.0,-46.28,169.85
64,Hong Kong,69.57,79,18,1.01,22.29,114.16
65,Nhulunbuy,91.4,52,40,10.29,-12.23,136.77
66,Ponta do Sol,56.88,82,20,6.93,32.67,-17.1
67,Bambous Virieux,78.42,65,20,8.05,-20.34,57.76
68,Hermanus,57.99,94,99,9.17,-34.42,19.23
69,Lorengau,84.43,73,100,6.24,-2.02,147.27
70,Santiago,59.88,55,0,5.82,-33.46,-70.65
71,East London,64.4,100,75,2.24,-33.02,27.91
72,Bethel,29.91,86,1,1.32,41.37,-73.41
73,Naze,72.52,69,40,11.41,28.37,129.48
74,Cape Town,61.25,87,40,4.7,-33.93,18.42
75,Jambi City,87.89,59,100,4.65,-1.6,103.62
76,Loei,73.4,73,0,5.82,17.42,101.5
77,Tautira,80.29,54,75,12.75,-17.73,-149.15
78,Zabul Province,36.79,78,47,7.43,32.25,67.25
79,Arrondissement de Lons-le-Saunier,35.85,93,90,6.93,46.75,5.75
80,Jijiga,56.39,49,1,11.36,9.35,42.8
81,Yeppoon,86.0,35,40,16.11,-23.13,150.73
82,Honningsvåg,36.32,84,17,20.65,70.98,25.97
83,Carnarvon,80.6,78,78,19.46,-24.87,113.63
84,Novikovo,18.91,90,0,10.51,51.15,37.89
85,Vestmannaeyjar,44.73,88,100,15.03,63.44,-20.27
86,Ilulissat,19.4,41,100,14.99,69.22,-51.1
87,Qaanaaq,16.74,93,100,8.5,77.48,-69.36
88,Manzanillo,67.53,81,1,10.11,20.34,-77.12
89,Bluff,48.0,87,100,11.99,-46.6,168.33
90,Eureka,44.22,90,28,2.15,40.8,-124.16
91,Águas Formosas,71.76,88,93,2.57,-17.08,-40.94
92,Nioki,69.96,96,84,1.68,-2.72,17.68
93,Lábrea,73.29,98,92,1.83,-7.26,-64.8
94,Ribeira Grande,63.73,90,92,20.83,38.52,-28.7
95,Jalu,45.61,78,71,2.19,29.03,21.55
96,Alice Springs,90.14,25,0,10.29,-23.7,133.88
97,Flinders,65.55,45,75,14.99,-34.58,150.86
98,Altamira,75.2,94,0,1.88,-3.2,-52.21
99,La Ronge,19.4,92,100,3.36,55.1,-105.28
100,Sitka,37.4,74,40,6.62,57.05,-135.33
101,Proletariy,24.49,91,100,9.01,58.43,31.7
102,Sampit,93.02,48,100,4.45,-2.53,112.95
103,Den Helder,33.94,86,90,11.41,52.96,4.76
104,Souillac,77.0,65,20,8.05,-20.52,57.52
105,Anadyr,9.05,85,20,6.71,64.75,177.48
106,Marsh Harbour,69.37,59,70,8.55,26.54,-77.06
107,Srednekolymsk,-18.49,88,100,5.88,67.45,153.68
108,Fort Morgan,28.4,86,90,11.41,40.25,-103.8
109,Tazovsky,-16.91,88,100,9.08,67.47,78.7
110,Sinnai,47.86,100,0,5.82,39.3,9.2
111,Esperance,73.4,60,90,12.75,-33.87,121.9
112,Palora,65.75,94,99,3.04,-1.7,-77.93
113,Gaoua,73.6,32,0,1.88,10.3,-3.25
114,Saint-Leu,75.27,54,0,23.04,-21.15,55.28
115,Norman Wells,1.4,77,75,3.36,65.28,-126.83
116,Juan Aldama,56.89,60,75,10.16,24.29,-103.39
117,Gazojak,28.65,78,98,7.36,41.19,61.4
118,Ponta Delgada,62.6,93,75,12.75,37.73,-25.67
119,Bredasdorp,59.0,87,100,3.36,-34.53,20.04
120,Khatanga,-33.14,84,97,7.65,71.97,102.5
121,Barrow,-5.8,76,90,11.41,71.29,-156.79
122,Dingle,85.86,75,73,7.65,11.0,122.67
123,Necochea,64.99,81,100,15.19,-38.55,-58.74
124,Codrington,62.15,62,0,18.45,-38.27,141.97
125,Kavieng,82.96,76,100,10.16,-2.57,150.8
126,San Patricio,66.07,88,20,11.41,28.02,-97.52
127,Ancud,46.99,81,20,5.82,-41.87,-73.82
128,Kindu,69.3,96,91,1.5,-2.95,25.95
129,Tiksi,-27.54,85,94,7.61,71.69,128.87
130,Zhigansk,-31.94,83,99,9.08,66.77,123.37
131,Plettenberg Bay,63.09,84,85,2.71,-34.05,23.37
132,Solnechnyy,10.49,90,100,1.79,50.72,136.63
133,Kandrian,85.68,65,100,5.95,-6.22,149.55
134,Iqaluit,21.09,73,75,10.29,63.75,-68.51
135,Krasnaya Gora,32.0,95,75,11.18,53.0,31.6
136,Sabang,80.19,76,98,11.18,5.89,95.32
137,Baykit,-25.17,79,71,1.34,61.67,96.37
138,Paraná,77.68,62,1,14.0,-31.73,-60.52
139,Victor Harbor,69.01,59,43,1.01,-35.57,138.62
140,Verkhnyaya Inta,16.2,96,100,21.03,65.98,60.31
141,Jamestown,31.51,97,1,6.93,42.1,-79.24
142,Kamaishi,39.2,100,75,1.12,39.27,141.88
143,Isangel,87.8,70,75,9.17,-19.55,169.27
144,Chapada dos Guimarães,75.2,83,75,3.36,-15.46,-55.75
145,Weihe,45.03,53,51,3.11,33.0,105.32
146,Saint Paul Harbor,19.4,85,1,5.82,57.79,-152.41
147,Northam,50.65,96,76,5.01,51.03,-4.22
148,Ulaangom,6.53,84,77,4.03,49.98,92.07
149,Yugorsk,19.15,86,0,10.36,61.31,63.33
150,Makueni Boma,61.63,91,93,3.22,-1.8,37.62
151,Walvis Bay,56.73,92,1,3.47,-22.96,14.51
152,Cabo San Lucas,73.02,88,40,8.05,22.89,-109.91
153,Nantucket,37.4,74,1,5.82,41.28,-70.1
154,Mogadishu,78.85,81,7,18.77,2.04,45.34
155,Domoni,80.29,74,69,7.72,-12.26,44.53
156,Tiébissou,73.2,88,75,6.93,7.16,-5.23
157,Cherskiy,7.18,85,100,8.21,68.75,161.3
158,Lodwar,78.78,50,0,6.33,3.12,35.6
159,Touros,75.2,94,40,3.36,-5.2,-35.46
160,Yangi Marg`ilon,28.4,86,94,4.7,40.43,71.72
161,Estelle,59.13,100,20,5.12,29.85,-90.11
162,Marawi,84.0,74,1,5.01,8.0,124.29
163,Whitehorse,13.3,85,90,17.22,60.72,-135.05
164,Lüderitz,58.37,86,0,10.02,-26.65,15.16
165,Oussouye,69.8,94,0,2.24,12.48,-16.55
166,Sinnamary,77.61,87,18,8.48,5.38,-52.95
167,Vihti,26.24,81,40,11.01,60.42,24.32
168,Oytal,21.97,87,0,2.19,42.91,73.27
169,Qaqortoq,14.0,40,0,3.36,60.72,-46.03
170,Nanortalik,24.98,82,0,5.17,60.14,-45.24
171,Ust-Nera,-37.3,71,59,4.59,64.57,143.2
172,Little Current,41.97,81,94,16.11,45.98,-81.92
173,Huangnihe,20.1,87,12,8.12,43.56,128.02
174,Rocha,68.05,70,0,12.62,-34.48,-54.33
175,Nouadhibou,62.6,77,0,17.22,20.93,-17.03
176,Royan,50.34,100,100,14.99,45.63,-1.03
177,Nioro,71.19,28,14,4.65,13.35,-15.75
178,Yellowknife,-5.8,76,20,6.93,62.46,-114.35
179,Kango,73.85,95,96,1.05,0.19,10.1
180,Kongolo,67.75,96,100,1.95,-5.38,27.0
181,Kristinestad,26.56,97,2,8.93,62.27,21.38
182,Pasni,68.95,51,0,27.31,25.26,63.47
183,Buy,12.43,93,0,6.98,58.48,41.53
184,Porto Walter,74.97,84,100,1.14,-8.27,-72.74
185,São Filipe,73.67,71,72,8.25,14.9,-24.5
186,Novyy Svit,25.27,93,0,16.24,47.81,38.02
187,Elin Pelin,43.32,93,90,1.34,42.67,23.6
188,Noumea,86.0,62,60,12.75,-22.28,166.46
189,Christchurch,60.8,44,74,16.11,-43.53,172.63
190,Pacific Grove,49.71,87,20,6.93,36.62,-121.92
191,Pinawa,23.36,97,100,4.03,50.15,-95.88
192,Faanui,80.33,75,100,16.04,-16.48,-151.75
193,Calvinia,50.67,86,96,5.75,-31.47,19.78
194,Tuktoyaktuk,-9.4,76,75,11.41,69.45,-133.04
195,Wuwei,28.15,83,14,1.97,37.93,102.64
196,Thompson,-2.2,84,40,3.36,55.74,-97.86
197,Foki,11.01,91,2,2.42,56.69,54.35
198,Coyhaique,50.0,71,75,4.7,-45.58,-72.07
199,Timbiquí,74.7,94,100,3.33,2.77,-77.67
200,Oga,14.83,83,0,2.24,46.46,10.35
201,Lebu,53.01,89,10,4.47,-37.62,-73.65
202,Kiunga,86.95,67,76,2.19,-6.12,141.29
203,Sidi Ali,58.44,93,56,21.5,36.1,0.42
204,Zapolyarnyy,30.2,80,75,24.16,69.42,30.81
205,Omboué,76.66,89,100,5.91,-1.57,9.26
206,Gouyave,77.0,83,20,6.93,12.16,-61.73
207,Banda Aceh,81.27,75,98,10.11,5.56,95.32
208,Pitimbu,73.4,94,20,4.7,-7.47,-34.81
209,Guarapari,76.21,94,90,2.24,-20.67,-40.5
210,Airai,75.61,78,91,2.19,-8.93,125.41
211,Port Hawkesbury,33.66,93,90,12.75,45.62,-61.35
212,Narsaq,14.0,40,0,3.36,60.92,-46.05
213,Catió,75.11,87,0,4.88,11.28,-15.25
214,Caravelas,77.45,80,93,11.1,-17.71,-39.25
215,Pirovskoye,0.52,93,99,2.82,57.63,92.27
216,Sioux Lookout,23.0,85,90,9.17,50.1,-91.92
217,Camapuã,74.41,58,13,6.13,-19.53,-54.04
218,Grindavik,41.0,86,90,11.41,63.84,-22.43
219,Nizwá,63.03,61,4,4.76,22.93,57.53
220,Pomabamba,52.34,75,100,3.51,-8.83,-77.47
221,Miles City,23.0,79,1,1.74,46.41,-105.84
222,Mango,55.4,87,1,4.54,27.98,-82.31
223,Erzin,55.0,68,45,3.0,36.96,36.2
224,Resistencia,78.8,54,0,10.29,-27.46,-58.98
225,Laas,23.95,85,5,1.12,46.62,10.7
226,Port Macquarie,64.65,100,90,8.05,-31.43,152.92
227,Zenzeli,24.33,94,0,13.35,45.92,47.05
228,Florence,41.32,100,40,1.12,43.77,11.25
229,Lompoc,46.87,93,75,6.78,34.64,-120.46
230,Kérouané,69.31,69,0,1.77,9.27,-9.02
231,Clyde River,6.8,92,75,3.36,70.47,-68.59
232,North Bend,42.85,100,90,5.82,43.41,-124.22
233,Port-Gentil,79.57,82,100,10.16,-0.72,8.78
234,Zaozyornoye,46.47,75,100,19.04,45.16,33.28
235,Garissa,75.51,81,29,3.38,-0.45,39.64
236,Carndonagh,46.09,93,100,6.02,55.25,-7.27
237,Geraldton,86.0,45,0,10.29,-28.77,114.6
238,Laguna,52.18,58,1,5.82,38.42,-121.42
239,Kununurra,93.2,56,89,6.93,-15.77,128.73
240,Katete,60.53,81,5,2.82,-0.78,29.75
241,Provideniya,14.0,72,90,20.13,64.38,-173.3
242,Zhezkazgan,2.19,93,19,9.13,47.8,67.71
243,Hithadhoo,82.15,75,6,12.97,-0.6,73.08
244,Great Yarmouth,44.51,93,100,14.99,52.61,1.73
245,Mount Isa,95.0,23,90,9.17,-20.73,139.5
246,Murgab,28.4,86,90,6.93,37.5,61.97
247,Uribia,76.55,75,0,8.86,11.71,-72.27
248,Havelock,42.24,87,1,3.36,34.88,-76.9
249,Port Lincoln,67.71,49,97,16.64,-34.73,135.87
250,Brasília de Minas,67.6,88,99,0.51,-16.21,-44.43
251,Sola,87.8,79,75,2.24,-13.88,167.55
252,Talcahuano,55.4,93,5,3.36,-36.72,-73.12
253,Nikolayevsk-on-Amur,11.1,91,100,3.18,53.14,140.73
254,Victoria Point,75.38,63,100,11.99,-27.58,153.3
255,Rome,31.51,86,1,3.36,43.21,-75.46
256,Semey,14.0,85,75,4.47,50.41,80.23
257,Merrill,36.39,74,1,9.17,45.18,-89.68
258,Millinocket,30.2,80,75,8.05,45.66,-68.71
259,Buala,85.86,66,81,3.78,-8.14,159.59
260,Mayumba,77.05,88,100,1.16,-3.43,10.66
261,Waingapu,88.0,65,66,12.48,-9.66,120.26
262,Dikson,-7.78,88,100,26.19,73.51,80.55
263,Rapid Valley,29.53,68,90,5.82,44.06,-103.15
264,Bathsheba,77.0,83,20,11.41,13.22,-59.52
265,Severo-Yeniseyskiy,-22.22,88,82,1.9,60.37,93.04
266,Beyneu,19.87,95,0,9.04,45.32,55.2
267,Katsuura,55.98,67,97,1.01,35.13,140.3
268,Lázaro Cárdenas,75.7,77,10,3.29,17.96,-102.2
269,Smirnykh,20.03,89,97,1.1,49.75,142.83
270,Tolyatti,-2.2,84,0,4.32,53.53,49.35
271,Krutinka,9.93,95,89,9.06,56.01,71.51
272,Zharkent,21.13,91,72,1.86,44.16,80.0
273,Yar-Sale,3.09,94,100,14.05,66.83,70.83
274,South Sioux City,36.12,74,1,20.8,42.47,-96.41
275,Saldanha,59.0,82,100,2.24,-33.01,17.94
276,Kāvali,76.5,68,0,4.88,14.92,79.98
277,Leningradskiy,0.61,87,0,8.97,69.38,178.42
278,Bayangol,-6.72,83,9,1.05,50.7,103.47
279,Rio Grande,68.0,93,0,1.01,-32.03,-52.1
280,Elverum,32.0,96,100,5.01,60.88,11.56
281,Visaginas,29.44,98,100,8.88,55.6,26.42
